level,BusinessTravel,Department,Education,EducationField,Gender,JobRole,MaritalStatus,OverTime,ClassAttrition
Senior,Travel_Rarely,Sales,D3,Life Sciences,Female,Sales Executive,Single,Yes,Yes
Senior,Travel_Frequently,Research & Development,SMA,Life Sciences,Male,Research Scientist,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Other,Male,Laboratory Technician,Single,Yes,Yes
Junior Senior,Travel_Frequently,Research & Development,S2,Life Sciences,Female,Research Scientist,Married,Yes,No
Junior,Travel_Rarely,Research & Development,SMA,Medical,Male,Laboratory Technician,Married,No,No
Junior Senior,Travel_Frequently,Research & Development,D3,Life Sciences,Male,Laboratory Technician,Single,No,No
Senior,Travel_Rarely,Research & Development,S1,Medical,Female,Laboratory Technician,Married,Yes,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Life Sciences,Male,Laboratory Technician,Divorced,No,No
Junior Senior,Travel_Frequently,Research & Development,S1,Life Sciences,Male,Manufacturing Director,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Healthcare Representative,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Laboratory Technician,Married,No,No
Junior,Travel_Rarely,Research & Development,D3,Life Sciences,Female,Laboratory Technician,Single,Yes,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Life Sciences,Male,Research Scientist,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Medical,Male,Laboratory Technician,Divorced,No,No
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Single,Yes,Yes
Junior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Manufacturing Director,Divorced,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Research Scientist,Divorced,Yes,No
Junior,Non-Travel,Research & Development,D3,Medical,Male,Laboratory Technician,Divorced,Yes,No
Senior,Travel_Rarely,Sales,S2,Life Sciences,Female,Manager,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Research Scientist,Single,Yes,No
Junior,Non-Travel,Research & Development,D3,Other,Female,Manufacturing Director,Divorced,No,No
Junior Senior,Travel_Rarely,Sales,S2,Life Sciences,Male,Sales Representative,Single,No,Yes
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Research Director,Single,No,No
Junior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Research Scientist,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Medical,Male,Research Scientist,Single,No,Yes
Senior,Travel_Rarely,Research & Development,S1,Other,Female,Manager,Divorced,No,No
Junior Senior,Travel_Frequently,Research & Development,SMA,Life Sciences,Female,Research Scientist,Single,Yes,Yes
Senior,Travel_Rarely,Sales,S2,Marketing,Male,Sales Executive,Married,No,No
Senior,Travel_Rarely,Research & Development,S2,Medical,Female,Healthcare Representative,Married,No,No
Senior,Travel_Rarely,Sales,S2,Marketing,Female,Manager,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,S1,Medical,Male,Laboratory Technician,Single,No,No
Senior,Travel_Rarely,Research & Development,S2,Other,Male,Healthcare Representative,Married,Yes,No
Junior Senior,Travel_Rarely,Research & Development,D3,Medical,Male,Laboratory Technician,Single,No,No
Junior Senior,Travel_Rarely,Sales,S1,Technical Degree,Male,Sales Representative,Married,No,Yes
Junior,Travel_Rarely,Research & Development,S1,Medical,Male,Research Scientist,Married,Yes,Yes
Senior,Travel_Rarely,Research & Development,D3,Medical,Female,Research Scientist,Divorced,No,No
Senior,Travel_Rarely,Sales,D3,Marketing,Male,Sales Representative,Married,Yes,Yes
Junior Senior,Travel_Rarely,Sales,S1,Marketing,Female,Sales Representative,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Research Scientist,Married,Yes,No
Junior Senior,Travel_Frequently,Sales,S1,Life Sciences,Female,Sales Executive,Married,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Other,Male,Laboratory Technician,Divorced,No,No
Junior,Travel_Rarely,Research & Development,S2,Life Sciences,Female,Laboratory Technician,Divorced,No,No
Junior,Travel_Rarely,Research & Development,S1,Life Sciences,Male,Laboratory Technician,Single,No,Yes
Junior,Travel_Frequently,Sales,S1,Life Sciences,Male,Sales Executive,Single,No,No
Junior Senior,Travel_Frequently,Research & Development,D3,Medical,Female,Laboratory Technician,Single,No,No
Senior,Travel_Rarely,Research & Development,S1,Technical Degree,Female,Research Director,Married,No,Yes
Junior Senior,Non-Travel,Sales,S2,Marketing,Male,Sales Executive,Single,No,No
Junior Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Research Scientist,Married,No,No
Senior,Travel_Frequently,Sales,S2,Marketing,Male,Sales Executive,Single,Yes,No
Junior Senior,Travel_Rarely,Research & Development,SMA,Life Sciences,Male,Laboratory Technician,Married,No,No
Senior,Travel_Rarely,Research & Development,D3,Life Sciences,Male,Laboratory Technician,Single,Yes,Yes
Junior,Travel_Rarely,Research & Development,S2,Technical Degree,Male,Laboratory Technician,Single,Yes,Yes
Senior,Travel_Rarely,Sales,S3,Marketing,Female,Sales Executive,Divorced,Yes,No
